player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
Brad Nortman,7192,P,1,JAX,60.0,1,54.0,38.0,0,100.0,1,12,12.0,0,0,1,4.95
Justin Tucker,7604,K,16,BLT,57.5,80,68.8,25.2,1,33.8,27,540,20.0,52,0,75,4.13
Sam Martin,7947,P,16,DET,62.4,78,67.9,25.8,3,32.1,25,462,18.5,52,0,70,4.06
Caleb Sturgis,7948,K,16,PHI,62.2,87,66.4,23.8,3,46.0,40,712,17.8,46,0,80,4.13
Dustin Hopkins,7958,K,16,WAS,75.9,92,69.2,25.6,2,26.1,24,534,22.3,65,0,85,4.22
Colton Schmidt,8104,P,1,BUF,60.0,1,45.0,86.0,0,100.0,1,51,51.0,0,0,1,3.32
Jordan Gay,8118,K,3,BUF,64.0,14,66.1,24.5,0,50.0,7,133,19.0,7,0,13,4.2
Brad Wing,8256,P,1,NYG,60.0,1,67.0,36.0,0,100.0,1,23,23.0,0,0,1,4.15
Brandon McManus,8437,K,16,DEN,44.4,79,66.8,25.6,3,31.6,25,440,17.6,51,0,72,4.1
Pat O'Donnell,8826,P,1,CHI,60.0,1,51.0,38.0,0,100.0,1,9,9.0,0,0,1,4.26
Cairo Santos,8932,K,16,KC,51.7,86,66.6,26.0,2,41.9,36,843,23.4,48,0,81,4.06
Chris Boswell,8990,K,15,PIT,49.2,80,67.6,26.4,2,33.8,27,639,23.7,49,0,71,3.94
Cody Parkey,9030,K,14,CLV,56.2,57,66.2,25.7,3,36.8,21,376,17.9,34,0,52,3.95
Chandler Catanzaro,9140,K,16,ARZ,62.5,83,68.0,25.6,2,36.1,30,671,22.4,52,0,77,3.98
Patrick Murray,9389,K,2,CLV,61.4,7,71.0,27.9,0,42.9,3,103,34.3,4,0,7,3.95
Bradley Pinion,9598,P,11,SF,56.0,31,69.1,24.9,0,25.8,8,182,22.8,20,1,28,4.05
Andrew Franks,9814,K,16,MIA,60.6,74,68.7,24.4,0,41.9,31,632,20.4,43,0,67,3.91
Matt Wile,9972,K,1,ARZ,61.4,7,70.7,25.0,0,0.0,0,0,,7,0,6,4.04
Josh Lambo,10133,K,16,SD,65.9,91,69.1,25.8,2,22.0,20,473,23.7,67,0,82,3.97
Jason Myers,10207,K,16,JAX,70.2,76,68.2,26.9,4,18.4,14,261,18.6,60,0,64,4.0
Brian Peters,10248,LB,1,HST,60.0,2,61.5,20.0,0,100.0,2,33,16.5,0,0,1,3.94
Roberto Aguayo,10693,K,16,TB,84.1,79,68.0,25.2,3,34.2,27,568,21.0,52,0,72,4.14
Drew Kaser,10813,P,1,SD,60.0,1,60.0,41.0,0,100.0,1,31,31.0,0,0,1,4.33
Riley Dixon,10862,P,2,DEN,60.0,2,50.0,75.5,0,100.0,2,86,43.0,0,0,2,4.41
Wil Lutz,11096,K,16,NO,55.1,93,64.8,25.8,4,45.2,42,898,21.4,49,0,79,3.96
